Tweet,Time,Event,Stance
"--- 
+++ 
@@ -2,31 +2,31 @@
 {{use American English|date=November 2020}}
 {{short description|Election for the 2020 United States Senate seat in Texas}}
 {{Current election|date=November 2020}}
 {{notconfuse|2020 Texas State Senate election}}
 {{Infobox election
 | election_name = 2020 United States Senate election in Texas
 | country = Texas
 | type = presidential
 | ongoing = yes
 | previous_election = 2014 United States Senate election in Texas
 | previous_year = 2014
 | next_election = 2026 United States Senate election in Texas
 | next_year = 2026
 | election_date = November 3, 2020
 | image1 = [[File:John Cornyn official senate portrait.jpg|x150px]]
-| nominee1 = [[John Cornyn]]
+| nominee1 = '''[[John Cornyn]]'''
 | party1 = Republican Party (United States)
 | popular_vote1 = 
 | percentage1 = 
 | image2 = [[File:MJHegar (cropped).jpg|x150px]]
 | nominee2 = [[MJ Hegar]]
 | party2 = Democratic Party (United States)
 | popular_vote2 = 
 | percentage2 = 
 | map_image = 
 | map_size = 
 | map_caption = County results
 | title = U.S. Senator
 | before_election = John Cornyn
 | before_party = Republican Party (United States)
 | after_election = 
@@ -1997,45 +1997,45 @@
 |13%
 |-
 | style=""text-align:left;""|[https://progresstexas.org/sites/default/files/June%202020%20Progress%20Texas-PPP%20Poll.pdf Public Policy Polling]
 | June 18–19, 2020
 | 907 (V)
 | ±&nbsp;3%
 | {{party shading/Republican}}|'''47%'''
 | 45%
 | 8%
 |}
 {{collapse bottom}}
 
 === Results ===
 {{Election box begin 
 | title=2020 United States Senate election in Texas}}
-{{Election box candidate with party link 
- | party      = Green Party (United States)
- | candidate  = David Collins
- | votes      = 
- | percentage = 
-}}
-{{Election box candidate with party link
+{{Election box winning candidate with party link
  | party      = Republican Party (United States)
  | candidate  = [[John Cornyn]] (incumbent)
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Democratic Party (United States)
  | candidate  = [[MJ Hegar]]
+ | votes      = 
+ | percentage = 
+}}
+{{Election box candidate with party link 
+ | party      = Green Party (United States)
+ | candidate  = David Collins
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Libertarian Party (United States)
  | candidate  = Kerry McKennon
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Independent (United States)
  | candidate  = Ricardo Turullols-Bonilla (write-in)
  | votes      = 
  | percentage = 
 }}",2020-11-04 18:01:34+00:00,0,
,2020-11-05 02:54:27+00:00,0,
,2020-11-05 23:01:34+00:00,0,
"--- 
+++ 
@@ -506,42 +506,42 @@
 ! style=""width:60px;""| Cynthia<br>Lummis (R)
 ! style=""width:60px;""| Merav<br>Ben-David (D)
 |-
 |style=""text-align:left;""|[http://www.uwyo.edu/uw/news/2020/10/uw-survey-wyoming-voters-prefer-trump-to-biden.html University of Wyoming]
 |October 8–28, 2020
 |614 (LV)
 |± 4%
 |{{party shading/Republican}}|'''56%'''
 |26%
 |}
 
 === Results ===
 {{Election box begin 
  | title      = United States Senate election in Wyoming, 2020
 }}
+{{Election box winning candidate with party link 
+ | party      = Republican Party (United States)
+ | candidate  = [[Cynthia Lummis]]
+ | votes      = 
+ | percentage = 
+}}
 {{Election box candidate with party link 
  | party      = Democratic Party (United States)
  | candidate  = [[Merav Ben-David]]
  | votes      = 
  | percentage = 
 }}
-{{Election box candidate with party link 
- | party      = Republican Party (United States)
- | candidate  = [[Cynthia Lummis]]
- | votes      = 
- | percentage = 
-}}
 {{Election box total
  | votes      = 
  | percentage = 100.00%
 }}
 {{Election box end}}
 
 ==Notes==
 ;Partisan clients
 {{notelist-ua}}
 ;Voter samples and additional candidates
 {{notelist}}
 
 ==References==
 {{Reflist}}
 ",2020-11-04 03:57:53+00:00,0,
"--- 
+++ 
@@ -2147,38 +2147,38 @@
 | candidate = Jerry Munden
 | votes = 
 | percentage = 
 }}
 {{Election box total no change
 | votes = 
 | percentage = 100%
 }}
 {{Election box end}}
 
 ====District 93====
 Incumbent Democrat [[Carl Ray Russell]] has represented the 93rd district since 2019.
 {{Election box begin no change
 |title = North Carolina House of Representatives 93rd district general election, 2020}}
 {{Election box winning candidate with party link no change
+| party = Republican Party (United States)
+| candidate = Ray Pickett
+| votes = 
+| percentage = 
+}}
+{{Election box candidate with party link no change
 | party = Democratic Party (United States)
 | candidate = [[Carl Ray Russell]] (incumbent)
-| votes = 
-| percentage = 
-}}
-{{Election box candidate with party link no change
-| party = Republican Party (United States)
-| candidate = Ray Pickett
 | votes = 
 | percentage = 
 }}
 {{Election box total no change
 | votes = 
 | percentage = 100%
 }}
 {{Election box end}}
 
 ====District 94====
 Incumbent Republican [[Jeffrey Elmore]] has represented the 94th District since 2013. <br/> Elmmore is seeking re-election unopposed. 
 {{Election box begin no change
 |title = North Carolina House of Representatives 94th district general election, 2020}}
 {{Election box winning candidate with party link no change
 | party = Republican Party (United States)",2020-11-04 17:58:56+00:00,0,
,2020-11-05 23:02:05+00:00,0,
"--- 
+++ 
@@ -1,39 +1,39 @@
 {{Distinguish|2020 Colorado Senate election}}
 {{Current election|date=November 2020}}
 {{Use mdy dates|date=November 2020}}
 {{use American English|date=November 2020}}
 {{Infobox election
 | election_name      = 2020 United States Senate election in Colorado
 | country            = Colorado
 | type               = presidential
 | ongoing            = yes
 | previous_election  = 2014 United States Senate election in Colorado
 | previous_year      = 2014
 | next_election      = 2026 United States Senate election in Colorado
 | next_year          = 2026
 | election_date      = November 3, 2020
 
-| image1             = [[File:Cory Gardner official Senate portrait (cropped).jpeg|x150px]]
-| nominee1           = [[Cory Gardner]]
-| party1             = Republican Party (United States)
+| image1             = [[File:John Hickenlooper June 2019.jpg|x150px]]
+| nominee1           = '''[[John Hickenlooper]]'''
+| party1             = Democratic Party (United States)
 | popular_vote1      = 
 | percentage1        = 
 
-| image2             = [[File:John Hickenlooper June 2019.jpg|x150px]]
-| nominee2           = [[John Hickenlooper]]
-| party2             = Democratic Party (United States)
+| image2             = [[File:Cory Gardner official Senate portrait (cropped).jpeg|x150px]]
+| nominee2           = [[Cory Gardner]]
+| party2             = Republican Party (United States)
 | popular_vote2      = 
 | percentage2        = 
 
 | map_image          = 
 | map_size           = File:Blank Map of Colorado.svg
 | map_caption        = County results
 | title              = U.S. Senator
 | before_election    = [[Cory Gardner]]
 | before_party       = Republican Party (United States)
 | after_election     = 
 | after_party        = 
 }}
 {{Elections in Colorado}}
 The '''2020 United States Senate Election in Colorado''' is being held on November 3, 2020, to elect a member of the [[United States Senate]] to represent the [[Colorado|State of Colorado]], concurrently with the [[2020 United States presidential election|2020 U.S. presidential election]], as well as [[2020 United States Senate elections|other elections]] to the United States Senate, [[2020 United States House of Representatives elections|elections]] to the [[United States House of Representatives]] and various [[2020 United States elections|state and local elections]].
 
@@ -1082,59 +1082,59 @@
 |style=""text-align:left;""| [https://www.aarp.org/content/dam/aarp/research/surveys_statistics/politics/2019/five-state-prescription-drug-survey-annotated-questionnaire-CO.doi.10.26419-2Fres.00335.002.pdf Fabrizio Ward/AARP]
 |July 29–31, 2019
 |600 (LV)
 |±&nbsp;4.0%
 | {{party shading/Republican}}| '''45%'''
 | 39%
 | 2%{{efn|Would not vote/would not vote for U.S. Senate with 2%}}
 | 14%
 |}
 {{collapse bottom}}
 
 === Results ===
 {{Election box begin
 | title=United States Senate election in Colorado, 2020<ref>{{cite web |url=https://www.sos.state.co.us/pubs/elections/vote/generalBallotOrder.html |work=Colorado Secretary of State |accessdate=August 19, 2020 |date=July 13, 2020 |title=2020 General Election Candidate Ballot Order}}</ref>
 }}
+{{Election box winning candidate with party link
+ | party      = Democratic Party (United States)
+ | candidate  = [[John Hickenlooper]]
+ | votes      = 
+ | percentage =  
+}}
+{{Election box candidate with party link
+ | party      = Republican Party (United States)
+ | candidate  = [[Cory Gardner]] (incumbent)
+ | votes      =  
+ | percentage = 
+}}
 {{Election box candidate with party link 
  | party      = Libertarian Party (United States)
  | candidate  = Raymon Doane
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Approval Voting Party
  | candidate  = Daniel Doyle
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Unity Party of America
  | candidate  = Stephen Evans
  | votes      = 
  | percentage = 
-}}
-{{Election box candidate with party link
- | party      = Republican Party (United States)
- | candidate  = [[Cory Gardner]] (incumbent)
- | votes      =  
- | percentage = 
-}}
-{{Election box candidate with party link
- | party      = Democratic Party (United States)
- | candidate  = [[John Hickenlooper]]
- | votes      = 
- | percentage =  
 }}
 {{Election box write-in with party link
  | votes      =
  | percentage =
  | change     = 
 }}
 {{Election box total 
  | votes      = 
  | percentage = 100.00%
 }}
 {{Election box end}}
 
 ==See also==
 * [[2020 Colorado elections]]
 *[[2020 United States Senate elections]]",2020-11-04 02:36:31+00:00,0,
,2020-11-05 06:55:16+00:00,0,
"--- 
+++ 
@@ -552,45 +552,51 @@
 }}
 {{Election box candidate with party link no change
 | party = Republican Party (United States)
 | candidate = Craig Wooten
 | votes = 7,169
 | percentage = 43.2
 }}
 {{Election box total no change
 | votes = 16,580
 | percentage = 100.0
 }}
 {{Election box end}}
 {{Election box begin no change
 | title = General Election
 }}
-{{Election box candidate with party link no change
+{{Election box winning candidate with party link no change
 | party = Republican Party (United States)
 | candidate = [[Richard Cash]] ([[incumbent]])
-| votes = 
-| percentage = 
+| votes = 44,396
+| percentage = 74.0
 }}
 {{Election box candidate with party link no change
 | party = Democratic Party (United States)
 | candidate = Judith Polson
-| votes = 
-| percentage = 
-}}
-{{Election box total no change
-| votes = 
-| percentage = 
+| votes = 15,507
+| percentage = 25.9
+}}
+{{Election box candidate with party link no change
+| party = Write-in
+| candidate = 
+| votes = 55
+| percentage = 0.1
+}}
+{{Election box total no change
+| votes = 59,958
+| percentage = 100.0
 }}
 {{Election box end}}
 
 ===District 4===
 Incumbent [[Michael Gambrell]] ran unopposed in the Republican primary. Jose Villa ran unopposed in the Democratic primary.<ref name=""3&4""/><ref name=""generalonly"">{{cite web |title=Statehouse Report – NEW for 4/3: Who’s running and who’s not; Sanford; Hard times ahead; Elections |url=https://www.statehousereport.com/2020/04/03/who-is-running-sanford-hard-times-election/ |website=www.statehousereport.com |accessdate=June 13, 2020}}</ref>
 {{Election box begin no change
 | title = General Election
 }}
 {{Election box candidate with party link no change
 | party = Republican Party (United States)
 | candidate = [[Michael Gambrell]] ([[incumbent]])
 | votes = 
 | percentage = 
 }}
 {{Election box candidate with party link no change",2020-11-04 21:46:59+00:00,0,
"--- 
+++ 
@@ -1,49 +1,49 @@
 {{short description|2020 elections in the US state of South Carolina}}
 {{for|the federal election|2020 United States Senate election in South Carolina}}
 {{Infobox election
 | election_name      = 2020 South Carolina Senate election
 | country            = South Carolina
 | type               = legislative
-| ongoing            = yes
+| ongoing            = no
 | previous_election  = 2016 South Carolina Senate election
 | previous_year      = 2016
 | next_election      = 2024 South Carolina Senate election
 | next_year          = 2024
 | seats_for_election = All 46 seats in the [[South Carolina Senate]]
 | majority_seats     = 24
 | election_date      = November 3, 2020
 
 | image1             = File:blank.svg
 | image1_size        = 115
 | leader1            = [[Harvey S. Peeler Jr.]]
 | party1             = Republican Party (United States)
 | leaders_seat1      = 14th
-| seats_before1      = 27
-| seat_change1       = {{up}} 3
+| seats_before1      = '''27'''
+| seat_change1       = {{increase}} 3
 | seats_after1       = '''30'''
 | popular_vote1      = 
 | percentage1        = 
 | swing1             = 
 
 | image2             = File:blank.svg
 | image2_size        = 115
 | leader2            = [[Nikki G. Setzler]]
 | party2             = Democratic Party (United States)
 | leaders_seat2      = 26th
 | seats_before2      = 19
-| seat_change2       = {{down}} 3
+| seat_change2       = {{decrease}} 3
 | seats_after2       = 16
 | popular_vote2      = 
 | percentage2        = 
 | swing2             = 
 }}
 {{ElectionsSC}}
 The '''2020 South Carolina State Senate elections''' took place as part of the [[wikt:biennial|biennial]] 2020 [[2020 United States elections|United States elections]]. [[South Carolina]] voters elected state senators in all of the state's 46 senate districts. State senators serve four-year terms in the [[South Carolina Senate]], with all of the seats up for election each cycle. The primary elections on June 9, 2020, determined which candidates appeared on the November 3, 2020, general election ballot.
 
 Following the previous election in [[2016 South Carolina Senate election|2016]], [[South Carolina Republican Party|Republicans]] had control of the South Carolina Senate with 27 seats to [[South Carolina Democratic Party|Democrats]]' 19 seats.
 
 ==Composition==
 {|class=wikitable style=""text-align:center""
 |- style=""vertical-align:bottom;""
 !rowspan=3|Affiliation
 !colspan=2|Party <div style=""font-size:80%"">(Shading indicates majority caucus)</div>",2020-11-05 03:10:56+00:00,0,
