Tweet,Predicted_Stance
"--- 
+++ 
@@ -2,31 +2,31 @@
 {{use American English|date=November 2020}}
 {{short description|Election for the 2020 United States Senate seat in Texas}}
 {{Current election|date=November 2020}}
 {{notconfuse|2020 Texas State Senate election}}
 {{Infobox election
 | election_name = 2020 United States Senate election in Texas
 | country = Texas
 | type = presidential
 | ongoing = yes
 | previous_election = 2014 United States Senate election in Texas
 | previous_year = 2014
 | next_election = 2026 United States Senate election in Texas
 | next_year = 2026
 | election_date = November 3, 2020
 | image1 = [[File:John Cornyn official senate portrait.jpg|x150px]]
-| nominee1 = [[John Cornyn]]
+| nominee1 = '''[[John Cornyn]]'''
 | party1 = Republican Party (United States)
 | popular_vote1 = 
 | percentage1 = 
 | image2 = [[File:MJHegar (cropped).jpg|x150px]]
 | nominee2 = [[MJ Hegar]]
 | party2 = Democratic Party (United States)
 | popular_vote2 = 
 | percentage2 = 
 | map_image = 
 | map_size = 
 | map_caption = County results
 | title = U.S. Senator
 | before_election = John Cornyn
 | before_party = Republican Party (United States)
 | after_election = 
@@ -1997,45 +1997,45 @@
 |13%
 |-
 | style=""text-align:left;""|[https://progresstexas.org/sites/default/files/June%202020%20Progress%20Texas-PPP%20Poll.pdf Public Policy Polling]
 | June 18–19, 2020
 | 907 (V)
 | ±&nbsp;3%
 | {{party shading/Republican}}|'''47%'''
 | 45%
 | 8%
 |}
 {{collapse bottom}}
 
 === Results ===
 {{Election box begin 
 | title=2020 United States Senate election in Texas}}
-{{Election box candidate with party link 
- | party      = Green Party (United States)
- | candidate  = David Collins
- | votes      = 
- | percentage = 
-}}
-{{Election box candidate with party link
+{{Election box winning candidate with party link
  | party      = Republican Party (United States)
  | candidate  = [[John Cornyn]] (incumbent)
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Democratic Party (United States)
  | candidate  = [[MJ Hegar]]
+ | votes      = 
+ | percentage = 
+}}
+{{Election box candidate with party link 
+ | party      = Green Party (United States)
+ | candidate  = David Collins
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Libertarian Party (United States)
  | candidate  = Kerry McKennon
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Independent (United States)
  | candidate  = Ricardo Turullols-Bonilla (write-in)
  | votes      = 
  | percentage = 
 }}",FAVOR
"--- 
+++ 
@@ -1,44 +1,44 @@
 {{Current election|date=November 2020}}
 {{see also|2020 United States gubernatorial elections|2020 Washington elections}}
 {{short description|Gubernatorial election in Washington state}}
 {{Use mdy dates|date=September 2019}}
 {{Infobox election
 | election_name = 2020 Washington gubernatorial election
 | country = Washington
 | type = presidential
-| ongoing = yes
+| ongoing = no
 | previous_election = 2016 Washington gubernatorial election
 | previous_year = 2016
 | next_election = 2024 Washington gubernatorial election
 | next_year = 2024
 | election_date = November 3, 2020
 | image1 = [[File:Jay Inslee official portrait 2017 (cropped).jpg|x150px]]
 | nominee1 = [[Jay Inslee]]
 | party1 = Democratic Party (United States)
 | popular_vote1 = 
 | percentage1 = 
 | image2 = [[File:Loren Culp portrait (Courtesy).jpg|x120px|Washington gubernatorial candidate Loren Culp]]
 | nominee2 = Loren Culp
 | party2 = Republican Party (United States)
 | popular_vote2 = 
 | percentage2 = 
 | title = [[Governor of Washington|Governor]]
 | before_election = [[Jay Inslee]]
 | before_party = Democratic Party (United States)
-| after_election = <!-- [[Jay Inslee]] -->
-| after_party = <!-- Democratic Party (United States) -->
+| after_election = [[Jay Inslee]]
+| after_party = Democratic Party (United States)
 }}
 {{Elections in Washington State}}
 
 The '''2020 Washington gubernatorial election''' will be held on November 3, 2020, to elect the [[governor of Washington]], concurrently with the [[2020 United States presidential election|2020 U.S. presidential election]], as well as [[2020 United States Senate elections|elections]] to the [[United States Senate]], [[2020 United States House of Representatives elections|elections]] to the [[United States House of Representatives]] and various [[2020 United States elections|state and local elections]]. The [[Nonpartisan blanket primary|top-two primary]] was held on August 4.
  
 Washington does not have gubernatorial term limits and incumbent [[Democratic Party (United States)|Democratic]] Governor [[Jay Inslee]] is running for a third term.<ref>{{cite news |last=Merica |first=Dan |title=Washington Gov. Jay Inslee announces 2020 presidential bid |url=https://www.cnn.com/2019/03/01/politics/inslee-2020-presidential-campaign/index.html |date=March 1, 2019 |accessdate=March 1, 2019}}</ref> Inslee initially [[Jay Inslee 2020 presidential campaign|launched a campaign]] for [[President of the United States]] in [[2020 United States presidential election|the 2020 election]]. When he dropped out of that race in August 2019 due to low polling numbers,<ref>{{Cite web|date=2019-10-21|title=Was Jay Inslee’s presidential campaign a failure?|url=https://theaggie.org/2019/10/21/was-jay-inslees-presidential-campaign-a-failure/|access-date=2020-10-20|website=The Aggie|language=en-US}}</ref> he announced he would seek a third term as governor.<ref>{{cite news |last1=CNN |first1=Dan Merica and Paul LeBlanc |title=Washington Gov. Jay Inslee drops out of presidential race |url=https://edition.cnn.com/2019/08/21/politics/jay-inslee-drops-out-of-race/index.html |accessdate=August 22, 2019 |work=CNN |date=August 22, 2019}}</ref> Several other Democratic political figures considered entering the race if Inslee did not run, including [[Attorney General of Washington|Washington Attorney General]] [[Bob Ferguson (politician)|Bob Ferguson]], but ultimately, no major Democrats entered the race.<ref>{{cite news |last=Gutman |first=David |date=August 22, 2019 |title=With Inslee running again for governor, leading Washington state Democrats put their ambitions on hold |url=https://www.seattletimes.com/seattle-news/politics/with-inslee-running-again-for-governor-leading-washington-state-democrats-put-their-ambitions-on-hold/ |work=The Seattle Times |accessdate=August 22, 2019}}</ref> Inslee is the first governor of Washington to seek a third term since [[Daniel J. Evans]] in [[1972 Washington gubernatorial election|1972]].
 
 ==Background==
 Washington has not had a [[Republican Party (United States)|Republican]] governor since [[John Spellman]] left office in 1985, the longest streak of Democratic leadership of any state in the country and the third longest streak of one-party leadership after [[South Dakota]] (which has not had a [[Democratic Party (United States)|Democratic]] governor since [[Harvey L. Wollman]] left office in 1979) and [[Utah]] (which has not had a Democratic governor since [[Scott M. Matheson]] left office nine days prior to Spellman in 1985).<ref name=""UT"">{{cite news |last1=Wood |first1=Benjamin |title=achary Moses, a Democratic candidate for governor, wants to break up Republican control of Utah and build a space port |url=https://www.sltrib.com/news/politics/2019/07/19/zachary-moses-democratic/ |accessdate=August 29, 2019 |work=Salt Lake Tribune |date=July 19, 2019}}</ref><ref name=""SD"">{{cite news |last1=Scott |first1=Dylan |title=Kristi Noem elected first woman governor of South Dakota |url=https://www.vox.com/policy-and-politics/2018/11/7/18055928/midterm-election-results-south-dakota-governor-kristi-noem-winner |accessdate=August 26, 2019 |work=Vox |date=November 7, 2018}}</ref><ref>{{cite news |last1=Camden |first1=Jim |title=John Spellman, Washington's last Republican governor, dies |url=https://www.spokesman.com/stories/2018/jan/16/former-gov-spellman-dies/ |accessdate=August 23, 2019 |publisher=The Spokesman-Review |date=January 16, 2018}}</ref> Incumbent Governor [[Jay Inslee]], who previously served in the [[United States House of Representatives|U.S. House]], was first elected to the governorship in [[2012 Washington gubernatorial election|the 2012 election]] and won reelection [[2016 Washington gubernatorial election|in 2016]].
 
 When Inslee announced [[Jay Inslee 2020 presidential campaign|his candidacy]] for president, several political figures expressed interest in running for Governor if Inslee won [[2020 Democratic Party presidential primaries|the Democratic primaries]]. These included [[List of Attorneys General of Washington|Attorney General]] [[Bob Ferguson (politician)|Bob Ferguson]], [[Washington State Department of Natural Resources#Commissioner of Public Lands|Commissioner of Public Lands]] [[Hilary Franz]] and [[King County, Washington|King County]] executive [[Dow Constantine]].<ref name="":0"">{{Cite web |url=https://www.king5.com/article/news/politics/king-county-executive-dow-constantine-not-ruling-out-run-for-governor/281-b1ecff63-ef9e-49ee-8fd6-992706c85b26 |title=King County Executive Dow Constantine not ruling out run for governor |publisher=KING 5 News |access-date=February 25, 2019}}</ref> They stated they would only run if Inslee was not, avoiding a [[primary challenge]].<ref name=""inslee bid"">{{cite news |last1=Axelrod |first1=Tal |title=Inslee to announce bid for third term as Washington governor: report |url=https://thehill.com/homenews/campaign/458382-inslee-to-announce-bid-for-third-term-as-washington-governor-report |website=The Hill |date=August 22, 2019 |accessdate=August 22, 2019}}</ref><ref name=""ferg run"">{{cite news |last1=Smay |first1=Ian |title=Bob Ferguson announces decision to run for another term as Washington Attorney General |url=https://www.king5.com/article/news/politics/bob-ferguson-announces-decision-to-run-for-another-term-as-washington-attorney-general/281-9ea0147a-9c8c-4b05-aae6-5d4e79eb8bea |publisher=KING 5 News |date=August 22, 2019 |accessdate=August 22, 2019}}</ref> Inslee was the sole major Democratic candidate to enter the race.
 
 Several [[Republican Party (United States)|Republican]] politicians announced their own campaigns to challenge Inslee, including businessman Anton Sakharov, [[Republic, Washington|Republic]] police chief Loren Culp, and [[Washington State Senate|state senator]] [[Phil Fortunato]].<ref name=""chief run"">{{cite web |last1=Robinson |first1=Erin |title=Republic police chief announces run for governor |url=https://www.kxly.com/news/republic-police-chief-announces-run-for-governor/1100205481 |publisher=KXLY |accessdate=August 2, 2019 |date=July 26, 2019}}</ref><ref name=""fort gear"">{{Cite web |url=https://www.seattletimes.com/seattle-news/politics/gop-state-senator-phil-fortunato-gears-up-for-governor-run/ |title=GOP State Senator Phil Fortunato gears up for governor run |date=August 5, 2019 |work=The Seattle Times |language=en-US|access-date=August 6, 2019}}</ref>
 
 ==Democratic candidates==",AGAINST
"--- 
+++ 
@@ -506,42 +506,42 @@
 ! style=""width:60px;""| Cynthia<br>Lummis (R)
 ! style=""width:60px;""| Merav<br>Ben-David (D)
 |-
 |style=""text-align:left;""|[http://www.uwyo.edu/uw/news/2020/10/uw-survey-wyoming-voters-prefer-trump-to-biden.html University of Wyoming]
 |October 8–28, 2020
 |614 (LV)
 |± 4%
 |{{party shading/Republican}}|'''56%'''
 |26%
 |}
 
 === Results ===
 {{Election box begin 
  | title      = United States Senate election in Wyoming, 2020
 }}
+{{Election box winning candidate with party link 
+ | party      = Republican Party (United States)
+ | candidate  = [[Cynthia Lummis]]
+ | votes      = 
+ | percentage = 
+}}
 {{Election box candidate with party link 
  | party      = Democratic Party (United States)
  | candidate  = [[Merav Ben-David]]
  | votes      = 
  | percentage = 
 }}
-{{Election box candidate with party link 
- | party      = Republican Party (United States)
- | candidate  = [[Cynthia Lummis]]
- | votes      = 
- | percentage = 
-}}
 {{Election box total
  | votes      = 
  | percentage = 100.00%
 }}
 {{Election box end}}
 
 ==Notes==
 ;Partisan clients
 {{notelist-ua}}
 ;Voter samples and additional candidates
 {{notelist}}
 
 ==References==
 {{Reflist}}
 ",AGAINST
"--- 
+++ 
@@ -462,50 +462,55 @@
  | candidate = Travis Groo
  | votes =
  | percentage =
 }}
 {{Election box total no change
  | votes =
  | percentage =
 }}
 {{Election box end}}
 
 ==== District 18====
 Incumbent Republican [[John M. Alexander Jr.|John Alexander]] has represented the 18th district and its predecessors since 2015. <br/> Alexander is not seeking re-election.
 {{Election box begin no change| title= North Carolina Senate 18th district general election, 2020 
 }}
 {{Election box winning candidate with party link no change
+ | party = Democratic Party (United States)
+ | candidate = Sarah Crawford
+ | votes =
+ | percentage =
+}}
+{{Election box candidate with party link no change
  | party = Republican Party (United States)
  | candidate = Larry E. Norman
  | votes =
  | percentage =
 }}
-{{Election box candidate with party link no change
- | party = Democratic Party (United States)
- | candidate = Sarah Crawford
- | votes =
- | percentage =
-}}
+
 {{Election box candidate with party link no change
  | party = Libertarian Party (United States)
  | candidate = Jason Loeback
  | votes =
  | percentage =
 }}
 {{Election box total no change
  | votes =
  | percentage =
+}}
+{{ Election box gain with party link no change
+| winner = Democratic Party (United States)
+| loser = Republican Party (United States)
 }}
 {{Election box end}}
 
 ==== District 19====
 Incumbent Democrat [[Kirk deViere]] has represented the 19th district since 2019. <br/> Former Senator [[Wesley Meredith]] is seeking a rematch with DeViere.
 {{Election box begin no change| title= North Carolina Senate 19th district general election, 2020 
 }}
 {{Election box winning candidate with party link no change
  | party = Democratic Party (United States)
  | candidate = [[Kirk deViere]] (incumbent)
  | votes =
  | percentage =
 }}
 {{Election box candidate with party link no change
  | party = Republican Party (United States)",AGAINST
"--- 
+++ 
@@ -2147,38 +2147,38 @@
 | candidate = Jerry Munden
 | votes = 
 | percentage = 
 }}
 {{Election box total no change
 | votes = 
 | percentage = 100%
 }}
 {{Election box end}}
 
 ====District 93====
 Incumbent Democrat [[Carl Ray Russell]] has represented the 93rd district since 2019.
 {{Election box begin no change
 |title = North Carolina House of Representatives 93rd district general election, 2020}}
 {{Election box winning candidate with party link no change
+| party = Republican Party (United States)
+| candidate = Ray Pickett
+| votes = 
+| percentage = 
+}}
+{{Election box candidate with party link no change
 | party = Democratic Party (United States)
 | candidate = [[Carl Ray Russell]] (incumbent)
-| votes = 
-| percentage = 
-}}
-{{Election box candidate with party link no change
-| party = Republican Party (United States)
-| candidate = Ray Pickett
 | votes = 
 | percentage = 
 }}
 {{Election box total no change
 | votes = 
 | percentage = 100%
 }}
 {{Election box end}}
 
 ====District 94====
 Incumbent Republican [[Jeffrey Elmore]] has represented the 94th District since 2013. <br/> Elmmore is seeking re-election unopposed. 
 {{Election box begin no change
 |title = North Carolina House of Representatives 94th district general election, 2020}}
 {{Election box winning candidate with party link no change
 | party = Republican Party (United States)",AGAINST
"--- 
+++ 
@@ -2276,30 +2276,31 @@
 | percentage = 
 }}
 {{Election box candidate with party link no change
 | party = Democratic Party (United States)
 | candidate =  [[Christy Clark]] (incumbent)
 | votes = 
 | percentage = 
 }}
 {{Election box total no change
 | votes = 
 | percentage = 100%
 }}
 {{Election box gain with party link no change
 | winner = Republican Party (United States)
 | loser = Democratic Party (United States)
+}}
 {{Election box end}}
 
 ====District 99====
 Incumbent Democrat [[Nasif Majeed]] has represented the 99th District since 2019.
 {{Election box begin no change
 |title = North Carolina House of Representatives 99th district general election, 2020}}
 {{Election box winning candidate with party link no change
 | party = Democratic Party (United States)
 | candidate =  [[Nasif Majeed]] (incumbent)
 | votes = 
 | percentage = 
 }}
 {{Election box candidate with party link no change
 | party = Republican Party (United States)
 | candidate = Russell Rowe",AGAINST
"--- 
+++ 
@@ -1,39 +1,39 @@
 {{Distinguish|2020 Colorado Senate election}}
 {{Current election|date=November 2020}}
 {{Use mdy dates|date=November 2020}}
 {{use American English|date=November 2020}}
 {{Infobox election
 | election_name      = 2020 United States Senate election in Colorado
 | country            = Colorado
 | type               = presidential
 | ongoing            = yes
 | previous_election  = 2014 United States Senate election in Colorado
 | previous_year      = 2014
 | next_election      = 2026 United States Senate election in Colorado
 | next_year          = 2026
 | election_date      = November 3, 2020
 
-| image1             = [[File:Cory Gardner official Senate portrait (cropped).jpeg|x150px]]
-| nominee1           = [[Cory Gardner]]
-| party1             = Republican Party (United States)
+| image1             = [[File:John Hickenlooper June 2019.jpg|x150px]]
+| nominee1           = '''[[John Hickenlooper]]'''
+| party1             = Democratic Party (United States)
 | popular_vote1      = 
 | percentage1        = 
 
-| image2             = [[File:John Hickenlooper June 2019.jpg|x150px]]
-| nominee2           = [[John Hickenlooper]]
-| party2             = Democratic Party (United States)
+| image2             = [[File:Cory Gardner official Senate portrait (cropped).jpeg|x150px]]
+| nominee2           = [[Cory Gardner]]
+| party2             = Republican Party (United States)
 | popular_vote2      = 
 | percentage2        = 
 
 | map_image          = 
 | map_size           = File:Blank Map of Colorado.svg
 | map_caption        = County results
 | title              = U.S. Senator
 | before_election    = [[Cory Gardner]]
 | before_party       = Republican Party (United States)
 | after_election     = 
 | after_party        = 
 }}
 {{Elections in Colorado}}
 The '''2020 United States Senate Election in Colorado''' is being held on November 3, 2020, to elect a member of the [[United States Senate]] to represent the [[Colorado|State of Colorado]], concurrently with the [[2020 United States presidential election|2020 U.S. presidential election]], as well as [[2020 United States Senate elections|other elections]] to the United States Senate, [[2020 United States House of Representatives elections|elections]] to the [[United States House of Representatives]] and various [[2020 United States elections|state and local elections]].
 
@@ -1082,59 +1082,59 @@
 |style=""text-align:left;""| [https://www.aarp.org/content/dam/aarp/research/surveys_statistics/politics/2019/five-state-prescription-drug-survey-annotated-questionnaire-CO.doi.10.26419-2Fres.00335.002.pdf Fabrizio Ward/AARP]
 |July 29–31, 2019
 |600 (LV)
 |±&nbsp;4.0%
 | {{party shading/Republican}}| '''45%'''
 | 39%
 | 2%{{efn|Would not vote/would not vote for U.S. Senate with 2%}}
 | 14%
 |}
 {{collapse bottom}}
 
 === Results ===
 {{Election box begin
 | title=United States Senate election in Colorado, 2020<ref>{{cite web |url=https://www.sos.state.co.us/pubs/elections/vote/generalBallotOrder.html |work=Colorado Secretary of State |accessdate=August 19, 2020 |date=July 13, 2020 |title=2020 General Election Candidate Ballot Order}}</ref>
 }}
+{{Election box winning candidate with party link
+ | party      = Democratic Party (United States)
+ | candidate  = [[John Hickenlooper]]
+ | votes      = 
+ | percentage =  
+}}
+{{Election box candidate with party link
+ | party      = Republican Party (United States)
+ | candidate  = [[Cory Gardner]] (incumbent)
+ | votes      =  
+ | percentage = 
+}}
 {{Election box candidate with party link 
  | party      = Libertarian Party (United States)
  | candidate  = Raymon Doane
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Approval Voting Party
  | candidate  = Daniel Doyle
  | votes      = 
  | percentage = 
 }}
 {{Election box candidate with party link 
  | party      = Unity Party of America
  | candidate  = Stephen Evans
  | votes      = 
  | percentage = 
-}}
-{{Election box candidate with party link
- | party      = Republican Party (United States)
- | candidate  = [[Cory Gardner]] (incumbent)
- | votes      =  
- | percentage = 
-}}
-{{Election box candidate with party link
- | party      = Democratic Party (United States)
- | candidate  = [[John Hickenlooper]]
- | votes      = 
- | percentage =  
 }}
 {{Election box write-in with party link
  | votes      =
  | percentage =
  | change     = 
 }}
 {{Election box total 
  | votes      = 
  | percentage = 100.00%
 }}
 {{Election box end}}
 
 ==See also==
 * [[2020 Colorado elections]]
 *[[2020 United States Senate elections]]",AGAINST
"--- 
+++ 
@@ -1121,30 +1121,34 @@
 {{Election box candidate with party link 
  | party      = Unity Party of America
  | candidate  = Stephen Evans
  | votes      = 
  | percentage = 
 }}
 {{Election box write-in with party link
  | votes      =
  | percentage =
  | change     = 
 }}
 {{Election box total 
  | votes      = 
  | percentage = 100.00%
 }}
+{{Election box gain with party link
+ | winner     = Democratic Party (United States)
+ | loser      = Republican Party (United States)
+}}
 {{Election box end}}
 
 ==See also==
 * [[2020 Colorado elections]]
 *[[2020 United States Senate elections]]
 
 ==Notes==
 ;Partisan clients
 {{notelist-ua}}
 ;Voter samples
 {{notelist}}
 
 ==References==
 {{reflist}}
 ",AGAINST
"--- 
+++ 
@@ -766,61 +766,67 @@
 '''Organizations'''
 *[[Run for Something]]<ref>https://directory.runforsomething.net/candidate/1362/velazquez-marjorie</ref>
 }}
 
 ====District 14====
 
 Incumbent Democrat [[Fernando Cabrera (politician) | Fernando Cabrera]] is term-limited and cannot run for a fourth consecutive term. He has filed to run for Bronx Boro President.
 
 ;Democratic primary
 {{Election box begin no change | title=Democratic primary}}
 {{Election box candidate with party link no change
   |party      = Democratic Party (United States)
   |candidate  = Adolfo Abreu
   |votes      = 
   |percentage =
-  }}
+}}
 {{Election box candidate with party link no change
   |party      = Democratic Party (United States)
   |candidate  = Fernando Aquino
   |votes      = 
   |percentage = 
-  }}
+}}
 {{Election box candidate with party link no change
   |party      = Democratic Party (United States)
   |candidate  = Haile Rivera
   |votes      = 
   |percentage =
-  }}
+}}
 {{Election box candidate with party link no change
   |party      = Democratic Party (United States)
   |candidate  = Pierina Sanchez
   |votes      = 
   |percentage =
-  }}
+}}
+{{Election box candidate with party link no change
+  |party      = Democratic Party (United States)
+  |candidate  = Socrates Solano
+  |votes      = 
+  |percentage =
+}}
 {{Election box candidate with party link no change
   |party      = Democratic Party (United States)
   |candidate  = Yudelka Tapia
   |votes      = 
   |percentage =
-  }}
-{{Election box candidate with party link no change
-  |party      = Democratic Party (United States)
-  |candidate  = Write-ins
-  |votes      = 
-  |percentage = 
-  }}
+}}
+{{Election box candidate with party link no change
+  |party      = Democratic Party (United States)
+  |candidate  = Write-ins
+  |votes      = 
+  |percentage = 
+}}
 {{Election box total no change
   | votes = 
   | percentage = 100
 }}
 {{Election box end}}
 
 ====District 15====
 
 Incumbent Democrat [[Ritchie Torres]] is term-limited and cannot run for a third consecutive term. He is the current Democratic nominee for New York's {{ushr|NY|15|15th congressional district}} and, if elected, will have to resign his seat.
 
 ;Democratic primary
 {{Election box begin no change | title=Democratic primary}}
 {{Election box candidate with party link no change
   |party      = Democratic Party (United States)
   |candidate  = Ischia Bravo",AGAINST
"--- 
+++ 
@@ -42,23 +42,24 @@
 == Personal life ==
 Leger Fernandez and her husband, Luis Fernandez, have three sons.<ref>{{Cite web|date=May 23, 2020|title=Teresa Leger Fernandez For NM US Congress In District Three|url=https://retakeourdemocracy.org/teresa-leger-fernandez-for-nm-us-congress-in-district-three/|access-date=June 3, 2020|website=Retake Our Democracy|language=en-US}}</ref> Leger Fernandez and her husband have since divorced.
 
 == References ==
 {{reflist}}
 
 == External links ==
 * [https://www.teresaforall.com/ Campaign website]
 * {{Ballotpedia}}
 {{CongLinks|votesmart=189882|fec=H0NM03102}}
 
 {{authority control}}
 
 {{DEFAULTSORT:Leger Fernandez, Teresa}}
 [[Category:20th-century births]]
+[[Category:Female members of the United States House of Representatives]]
 [[Category:Living people]]
 [[Category:New Mexico Democrats]]
 [[Category:New Mexico lawyers]]
 [[Category:People from Las Vegas, New Mexico]]
 [[Category:Stanford Law School alumni]]
 [[Category:Yale University alumni]]
 [[Category:Women in New Mexico politics]]
 [[Category:San Miguel County, New Mexico]]",AGAINST
